Altium Designer Pick and Place Locations
C:\Users\b.moczala.SPACE\AppData\Local\Temp\Releases\Snapshot\1\_Release_panel\JLCPCB\Pick Place\Pick Place for I_PRV_UWS_B2_1_0b_panel.csv

========================================================================================================================
File Design Information:

Date:       28.06.22
Time:       12:44
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R6","Resistor","BottomLayer","SMD0402_RES","30.3274","26.3676","90","Resistor"
"J12","Battery","TopLayer","LIION_UWS","28.8414","29.3574","0",""
"B1","UWS_B1_outline","TopLayer","UWS_B1_OUTLINE","33.5344","35.9574","180",""
"C1","Capacitor","BottomLayer","SMD0603_CAP","49.3776","29.1238","270","Capacitor"
"C3","Capacitor","BottomLayer","SMD0402_CAP","50.5714","29.5174","270","Capacitor"
"C4","Capacitor","BottomLayer","SMD0402_CAP","52.0954","37.1374","0","Capacitor"
"C6","Capacitor","BottomLayer","SMD0402_CAP","49.6570","41.9126","90","Capacitor"
"C7","Capacitor","BottomLayer","SMD0402_CAP","48.8950","41.9126","90","Capacitor"
"C10","Capacitor","BottomLayer","SMD0402_CAP","31.9532","34.7244","270","Capacitor"
"C11","Capacitor","BottomLayer","SMD0402_CAP","29.0068","34.7498","270","Capacitor"
"C12","Capacitor","BottomLayer","SMD0603_CAP","37.4522","37.6962","180","Capacitor"
"D1","LED","TopLayer","SMD0603_LED","8.0646","33.2004","0","LED"
"D2","LED","TopLayer","SMD0603_LED","30.3148","24.0818","180","LED"
"D3","LED","TopLayer","SMD0603_LED","34.4932","44.6684","90","LED"
"D4","LED","TopLayer","SMD0603_LED","33.3756","44.6684","90","LED"
"IC1","KMZ51","TopLayer","KMZ51_SO8","52.0764","32.9134","90",""
"IC5","TP4054-42","BottomLayer","SOT23-5","38.7414","40.1524","0","MCP73832T bat charger"
"J6","Buzzer","TopLayer","BUZZER_9.5X5","24.9936","42.5730","270",""
"J7","Connector 2pin 3.5mm","TopLayer","CONNECTOR_2PIN_3.5MM","9.4234","37.7216","90",""
"J8","jumper","BottomLayer","0402_JUMPER","31.6484","46.7894","180",""
"J9","Pinhead 2pin 2.54mm","TopLayer","PINHEAD_2PI_2.54MM","15.0128","37.2391","90",""
"J11","uUSB","TopLayer","MICROUSB","39.3764","44.6774","180",""
"R1","Resistor","BottomLayer","SMD0402_RES","46.9701","29.1874","270","Resistor"
"R2","SMD potentiometer","TopLayer","POT_1804","52.0954","40.4394","90",""
"R3","Resistor","BottomLayer","SMD0402_RES","47.6248","37.8666","90","Resistor"
"R4","Resistor","BottomLayer","SMD0402_RES","48.4801","37.8666","270","Resistor"
"R5","Resistor","BottomLayer","SMD0402_RES","10.6170","32.5906","90","Resistor"
"R7","Resistor","BottomLayer","SMD0402_RES","54.5844","40.8456","90","Resistor"
"R9","Resistor","BottomLayer","SMD0402_RES","51.4409","38.9659","90","Resistor"
"R11","Resistor","BottomLayer","SMD0402_RES","52.7109","38.9659","90","Resistor"
"R20","Resistor","BottomLayer","SMD0402_RES","41.6304","40.1598","90","Resistor"
"D5","LED","TopLayer","SMD0603_LED","39.8526","36.6420","90","LED"
"R23","Resistor","BottomLayer","SMD0402_RES","39.1416","34.6992","270","Resistor"
"J13","Pinhead 2pin 2.54mm","TopLayer","PINHEAD_2PI_2.54MM","43.6944","36.5964","180",""
"Q3","AO3401A","BottomLayer","SOT_23","19.3104","37.3584","90","HEXFET Power P-Channel MOSFET"
"R24","Resistor","BottomLayer","SMD0402_RES","20.4976","42.1414","0","Resistor"
"R25","Resistor","BottomLayer","SMD0402_RES","16.8972","37.3582","90","Resistor"
"R8","Resistor","BottomLayer","SMD0402_RES","27.1270","30.6348","90","Resistor"
"IC3","ATtinny10","BottomLayer","SOT23-6","31.2484","44.0894","270",""
"R13","Resistor","BottomLayer","SMD0402_RES","30.3782","40.1856","0","Resistor"
"C2","Capacitor","BottomLayer","SMD0402_CAP","28.8354","44.0894","270","Capacitor"
"R14","Resistor","BottomLayer","SMD0402_RES","31.6486","39.2962","180","Resistor"
"R15","Resistor","BottomLayer","SMD0402_RES","32.7912","40.1856","0","Resistor"
"FB1","Resistor","BottomLayer","SMD0402_RES","30.5560","34.1404","0","Resistor"
"FB2","Resistor","BottomLayer","SMD0402_RES","27.7874","44.0714","90","Resistor"
"VR1","TL431","BottomLayer","SOT23","25.0844","29.3288","180","Voltage reference"
"F1","Resistor","BottomLayer","SMD0805_RES","15.0774","40.8577","0","Resistor"
"R26","Resistor","BottomLayer","SMD0402_RES","16.8912","34.6738","270","Resistor"
"R27","Resistor","BottomLayer","SMD0402_RES","54.5844","42.6998","90","Resistor"
"R28","Resistor","BottomLayer","SMD0402_RES","25.0954","32.0830","270","Resistor"
"R22","Resistor","BottomLayer","SMD0402_RES","49.3990","67.8666","270","Resistor"
"R21","Resistor","BottomLayer","SMD0402_RES","54.7114","67.8738","90","Resistor"
"R30","Resistor","BottomLayer","SMD0402_RES","39.4602","76.1121","0","Resistor"
"J2","Connector 6 pin","TopLayer","6x1_connector_1.27mm","30.3276","63.0988","180",""
"IC2","ATtinny10","BottomLayer","SOT23-6","29.3878","59.3396","90",""
"R16","Resistor","BottomLayer","SMD0402_RES","22.2248","67.3408","0","Resistor"
"C5","Capacitor","BottomLayer","SMD0603_CAP","48.0568","59.1238","270","Capacitor"
"R32","Resistor","BottomLayer","SMD0402_RES","8.0774","63.2256","180","Resistor"
"R31","Resistor","BottomLayer","SMD0402_RES","8.0774","61.9810","180","Resistor"
"D6","LED","TopLayer","SMD0603_LED","8.0646","61.9812","0","LED"
"IC6","GS8331-TR","BottomLayer","SOT23-5","52.0954","71.5316","180","OPAx333 1.8-V, microPower, CMOS Operational Amplifiers, Zero-Drift Series"
"Q2","BM3415E","BottomLayer","SOT_23","15.9512","73.7820","0","HEXFET Power P-Channel MOSFET"
"R29","Resistor","BottomLayer","SMD0402_RES","27.1274","58.5016","270","Resistor"
"R17","Resistor","BottomLayer","SMD0402_RES","29.9722","61.7778","180","Resistor"
"R10","Resistor","BottomLayer","SMD0402_RES","33.6616","73.9626","270","Resistor"
"J1","Connector 6 pin","BottomLayer","6x1_connector_1.27mm","30.6324","71.4554","0",""
"R19","Resistor","BottomLayer","SMD0402_RES","50.1906","67.8666","270","Resistor"
"R12","Resistor","BottomLayer","SMD0402_RES","53.8732","67.8662","90","Resistor"
"R18","Resistor","BottomLayer","SMD0402_RES","18.2374","75.5958","270","Resistor"
"Q1","SI2302","BottomLayer","SOT_23","20.4978","74.8082","180","HEXFET Power N-Channel MOSFET"
"J10","Pinhead 2pin 2.54mm","TopLayer","PINHEAD_2PI_2.54MM","50.4865","56.1853","180",""
"R6","Resistor","BottomLayer","SMD0402_RES","30.3274","56.3676","90","Resistor"
"J12","Battery","TopLayer","LIION_UWS","28.8414","59.3574","0",""
"B1","UWS_B1_outline","TopLayer","UWS_B1_OUTLINE","33.5344","65.9574","180",""
"C1","Capacitor","BottomLayer","SMD0603_CAP","49.3776","59.1238","270","Capacitor"
"C3","Capacitor","BottomLayer","SMD0402_CAP","50.5714","59.5174","270","Capacitor"
"C4","Capacitor","BottomLayer","SMD0402_CAP","52.0954","67.1374","0","Capacitor"
"C6","Capacitor","BottomLayer","SMD0402_CAP","49.6570","71.9126","90","Capacitor"
"C7","Capacitor","BottomLayer","SMD0402_CAP","48.8950","71.9126","90","Capacitor"
"C10","Capacitor","BottomLayer","SMD0402_CAP","31.9532","64.7244","270","Capacitor"
"C11","Capacitor","BottomLayer","SMD0402_CAP","29.0068","64.7498","270","Capacitor"
"C12","Capacitor","BottomLayer","SMD0603_CAP","37.4522","67.6962","180","Capacitor"
"D1","LED","TopLayer","SMD0603_LED","8.0646","63.2004","0","LED"
"D2","LED","TopLayer","SMD0603_LED","30.3148","54.0818","180","LED"
"D3","LED","TopLayer","SMD0603_LED","34.4932","74.6684","90","LED"
"D4","LED","TopLayer","SMD0603_LED","33.3756","74.6684","90","LED"
"IC1","KMZ51","TopLayer","KMZ51_SO8","52.0764","62.9134","90",""
"IC5","TP4054-42","BottomLayer","SOT23-5","38.7414","70.1524","0","MCP73832T bat charger"
"J6","Buzzer","TopLayer","BUZZER_9.5X5","24.9936","72.5730","270",""
"J7","Connector 2pin 3.5mm","TopLayer","CONNECTOR_2PIN_3.5MM","9.4234","67.7216","90",""
"J8","jumper","BottomLayer","0402_JUMPER","31.6484","76.7894","180",""
"J9","Pinhead 2pin 2.54mm","TopLayer","PINHEAD_2PI_2.54MM","15.0128","67.2391","90",""
"J11","uUSB","TopLayer","MICROUSB","39.3764","74.6774","180",""
"R1","Resistor","BottomLayer","SMD0402_RES","46.9701","59.1874","270","Resistor"
"R2","SMD potentiometer","TopLayer","POT_1804","52.0954","70.4394","90",""
"R3","Resistor","BottomLayer","SMD0402_RES","47.6248","67.8666","90","Resistor"
"R4","Resistor","BottomLayer","SMD0402_RES","48.4801","67.8666","270","Resistor"
"R5","Resistor","BottomLayer","SMD0402_RES","10.6170","62.5906","90","Resistor"
"R7","Resistor","BottomLayer","SMD0402_RES","54.5844","70.8456","90","Resistor"
"R9","Resistor","BottomLayer","SMD0402_RES","51.4409","68.9659","90","Resistor"
"R11","Resistor","BottomLayer","SMD0402_RES","52.7109","68.9659","90","Resistor"
"R20","Resistor","BottomLayer","SMD0402_RES","41.6304","70.1598","90","Resistor"
"D5","LED","TopLayer","SMD0603_LED","39.8526","66.6420","90","LED"
"R23","Resistor","BottomLayer","SMD0402_RES","39.1416","64.6992","270","Resistor"
"J13","Pinhead 2pin 2.54mm","TopLayer","PINHEAD_2PI_2.54MM","43.6944","66.5964","180",""
"Q3","AO3401A","BottomLayer","SOT_23","19.3104","67.3584","90","HEXFET Power P-Channel MOSFET"
"R24","Resistor","BottomLayer","SMD0402_RES","20.4976","72.1414","0","Resistor"
"R25","Resistor","BottomLayer","SMD0402_RES","16.8972","67.3582","90","Resistor"
"R8","Resistor","BottomLayer","SMD0402_RES","27.1270","60.6348","90","Resistor"
"IC3","ATtinny10","BottomLayer","SOT23-6","31.2484","74.0894","270",""
"R13","Resistor","BottomLayer","SMD0402_RES","30.3782","70.1856","0","Resistor"
"C2","Capacitor","BottomLayer","SMD0402_CAP","28.8354","74.0894","270","Capacitor"
"R14","Resistor","BottomLayer","SMD0402_RES","31.6486","69.2962","180","Resistor"
"R15","Resistor","BottomLayer","SMD0402_RES","32.7912","70.1856","0","Resistor"
"FB1","Resistor","BottomLayer","SMD0402_RES","30.5560","64.1404","0","Resistor"
"FB2","Resistor","BottomLayer","SMD0402_RES","27.7874","74.0714","90","Resistor"
"VR1","TL431","BottomLayer","SOT23","25.0844","59.3288","180","Voltage reference"
"F1","Resistor","BottomLayer","SMD0805_RES","15.0774","70.8577","0","Resistor"
"R26","Resistor","BottomLayer","SMD0402_RES","16.8912","64.6738","270","Resistor"
"R27","Resistor","BottomLayer","SMD0402_RES","54.5844","72.6998","90","Resistor"
"R28","Resistor","BottomLayer","SMD0402_RES","25.0954","62.0830","270","Resistor"
"R22","Resistor","BottomLayer","SMD0402_RES","49.3990","97.8666","270","Resistor"
"R21","Resistor","BottomLayer","SMD0402_RES","54.7114","97.8738","90","Resistor"
"R30","Resistor","BottomLayer","SMD0402_RES","39.4602","106.1121","0","Resistor"
"J2","Connector 6 pin","TopLayer","6x1_connector_1.27mm","30.3276","93.0988","180",""
"IC2","ATtinny10","BottomLayer","SOT23-6","29.3878","89.3396","90",""
"R16","Resistor","BottomLayer","SMD0402_RES","22.2248","97.3408","0","Resistor"
"C5","Capacitor","BottomLayer","SMD0603_CAP","48.0568","89.1238","270","Capacitor"
"R32","Resistor","BottomLayer","SMD0402_RES","8.0774","93.2256","180","Resistor"
"R31","Resistor","BottomLayer","SMD0402_RES","8.0774","91.9810","180","Resistor"
"D6","LED","TopLayer","SMD0603_LED","8.0646","91.9812","0","LED"
"IC6","GS8331-TR","BottomLayer","SOT23-5","52.0954","101.5316","180","OPAx333 1.8-V, microPower, CMOS Operational Amplifiers, Zero-Drift Series"
"Q2","BM3415E","BottomLayer","SOT_23","15.9512","103.7820","0","HEXFET Power P-Channel MOSFET"
"R29","Resistor","BottomLayer","SMD0402_RES","27.1274","88.5016","270","Resistor"
